PIPELINE ROLLING PROFITABILITY REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period:,May-26 to Dec-27 (20 months),,Currency:,SAR,,Last Updated:,05-May-2026,,Source:,"Hala YTD WH Pipeline (Hano Oberholzer, 05-May-2026)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. PIPELINE OPPORTUNITIES (Revenue),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Customer / Opportunity,Opportunity Owner,Stage,Probability,Warehouse Location,Ops Go-Live Date,Annual Contract Value,Expected Revenue (Current Yr),Volume - Pallets,Volume - SQM,May-26,Jun-26,Jul-26,Aug-26,Sep-26,Oct-26,Nov-26,Dec-26,2026 Total,Jan-27,Feb-27,Mar-27,Apr-27,May-27,Jun-27,Jul-27,Aug-27,Sep-27,Oct-27,Nov-27,Dec-27,2027 Total,Grand Total,Weighted Total,Notes
11,JAS,Yazan Darwish,Shortlisted,75.0%,Jubail 1,01-Jun-26," 924,000 "," 539,000 ","1,400",-, - ," 77,000 "," 77,000 "," 77,000 "," 77,000 "," 77,000 "," 77,000 "," 77,000 "," 539,000 "," 77,000 "," 77,000 "," 77,000 "," 77,000 "," 77,000 "," 77,000 "," 77,000 "," 77,000 "," 77,000 "," 77,000 "," 77,000 "," 77,000 "," 924,000 "," 1,463,000 "," 1,097,250 ",Opp: JAS/WH/JUB/1400PP | Region: East
12,LX Pantos Logistics,Yazan Darwish,Shortlisted,75.0%,Jubail 1,01-May-26," 726,000 "," 484,000 ","1,000",-," 60,500 "," 60,500 "," 60,500 "," 60,500 "," 60,500 "," 60,500 "," 60,500 "," 60,500 "," 484,000 "," 60,500 "," 60,500 "," 60,500 "," 60,500 "," 60,500 "," 60,500 "," 60,500 "," 60,500 "," 60,500 "," 60,500 "," 60,500 "," 60,500 "," 726,000 "," 1,210,000 "," 907,500 ",Opp: LXPantos/WH/JUB1/1000PP | Region: East
13,S-Chem,Yazan Darwish,Shortlisted,75.0%,Jubail 1,15-Jun-26," 138,600 "," 80,850 ",730,-, - ," 11,550 "," 11,550 "," 11,550 "," 11,550 "," 11,550 "," 11,550 "," 11,550 "," 80,850 "," 11,550 "," 11,550 "," 11,550 "," 11,550 "," 11,550 "," 11,550 "," 11,550 "," 11,550 "," 11,550 "," 11,550 "," 11,550 "," 11,550 "," 138,600 "," 219,450 "," 164,588 ","? Source Exp CY (323,400) ? ACV/12 implied (80,850) | Opp: S-Chem/WH/JUB1/730PP | Region: East"
14,Saudi Pelican Logistics Solutions,Yazan Darwish,Proposal Sent,60.0%,Jubail 1,01-Jun-26," 297,000 "," 173,250 ",500,-, - ," 24,750 "," 24,750 "," 24,750 "," 24,750 "," 24,750 "," 24,750 "," 24,750 "," 173,250 "," 24,750 "," 24,750 "," 24,750 "," 24,750 "," 24,750 "," 24,750 "," 24,750 "," 24,750 "," 24,750 "," 24,750 "," 24,750 "," 24,750 "," 297,000 "," 470,250 "," 282,150 ","? Source Exp CY (154,000) ? ACV/12 implied (173,250) | Opp: Saudi Pelican Logistics Solutions/WH/JUB/500PP | Region: East"
15,Ravago Saudi Arabia,Yazan Darwish,Proposal Sent,60.0%,Jubail 2,01-Sep-26," 550,000 "," 183,333 ","1,200",-, - , - , - , - ," 45,833 "," 45,833 "," 45,833 "," 45,833 "," 183,333 "," 45,833 "," 45,833 "," 45,833 "," 45,833 "," 45,833 "," 45,833 "," 45,833 "," 45,833 "," 45,833 "," 45,833 "," 45,833 "," 45,833 "," 550,000 "," 733,333 "," 440,000 ",Opp: Ravago/WH/JUB/1200PP | Region: East
16,Tahakom,Yazan Darwish,Shortlisted,75.0%,Jubail 2,01-Jul-26," 850,000 "," 425,000 ",-,"15,000", - , - ," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 425,000 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 70,833 "," 850,000 "," 1,275,000 "," 956,250 ","Opp: Tahakom/WH/JUB/15,000SQM Yard | Region: West"
17,Oriend Provisions,Simon Reah,Proposal Sent,60.0%,Jeddah Modon 3A,01-Aug-26," 1,620,000 "," 675,000 ","3,000",-, - , - , - ," 135,000 "," 135,000 "," 135,000 "," 135,000 "," 135,000 "," 675,000 "," 135,000 "," 135,000 "," 135,000 "," 135,000 "," 135,000 "," 135,000 "," 135,000 "," 135,000 "," 135,000 "," 135,000 "," 135,000 "," 135,000 "," 1,620,000 "," 2,295,000 "," 1,377,000 ",Opp: Orient Provisions/WH/JED3A/3000PP | Region: West
18,Al Nahdi,Simon Reah,Contract Negotiation,90.0%,Jeddah Modon 3A,01-May-26," 1,080,000 "," 720,000 ","3,000",-," 90,000 "," 90,000 "," 90,000 "," 90,000 "," 90,000 "," 90,000 "," 90,000 "," 90,000 "," 720,000 "," 90,000 "," 90,000 "," 90,000 "," 90,000 "," 90,000 "," 90,000 "," 90,000 "," 90,000 "," 90,000 "," 90,000 "," 90,000 "," 90,000 "," 1,080,000 "," 1,800,000 "," 1,620,000 ","? Source Exp CY (1,080,000) ? ACV/12 implied (720,000) | Opp: AL Nahdi/WH/JED3A/3000PP | Region: West"
19,JamJoom,Simon Reah,Shortlisted,75.0%,Jeddah Modon 3A,01-Jun-26," 891,000 "," 519,750 ","1,500",-, - ," 74,250 "," 74,250 "," 74,250 "," 74,250 "," 74,250 "," 74,250 "," 74,250 "," 519,750 "," 74,250 "," 74,250 "," 74,250 "," 74,250 "," 74,250 "," 74,250 "," 74,250 "," 74,250 "," 74,250 "," 74,250 "," 74,250 "," 74,250 "," 891,000 "," 1,410,750 "," 1,058,063 ",Opp: JamJoom/WH/JED3A/2000PP | Region: West
20,Med City Pharma,Amin AlHalabi,Proposal Sent,60.0%,Jeddah Modon 3A,01-Jun-26," 595,200 "," 347,200 ",800,-, - ," 49,600 "," 49,600 "," 49,600 "," 49,600 "," 49,600 "," 49,600 "," 49,600 "," 347,200 "," 49,600 "," 49,600 "," 49,600 "," 49,600 "," 49,600 "," 49,600 "," 49,600 "," 49,600 "," 49,600 "," 49,600 "," 49,600 "," 49,600 "," 595,200 "," 942,400 "," 565,440 ",Opp: MED CITY PHARMA/WH/JED/800 PP | Region: West
