PIPELINE ROLLING PROFITABILITY REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period:,May-26 to Dec-27 (20 months),,Currency:,SAR,,Last Updated:,05-May-2026,,Source:,"Hala YTD WH Pipeline (Hano Oberholzer, 05-May-2026)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. PIPELINE OPPORTUNITIES (Revenue),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Customer / Opportunity,Opportunity Owner,Stage,Probability,Warehouse Location,Ops Go-Live Date,Annual Contract Value,Expected Revenue (Current Yr),Volume - Pallets,Volume - SQM,May-26,Jun-26,Jul-26,Aug-26,Sep-26,Oct-26,Nov-26,Dec-26,2026 Total,Jan-27,Feb-27,Mar-27,Apr-27,May-27,Jun-27,Jul-27,Aug-27,Sep-27,Oct-27,Nov-27,Dec-27,2027 Total,Grand Total,Weighted Total,Notes
52,,,,-,,, - , - ,-,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
53,,,,-,,, - , - ,-,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
54,,,,-,,, - , - ,-,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
55,,,,-,,, - , - ,-,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
56,,,,-,,, - , - ,-,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
57,,,,-,,, - , - ,-,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
58,,,,-,,, - , - ,-,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
59,,,,-,,, - , - ,-,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
60,,,,-,,, - , - ,-,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
,TOTAL PIPELINE (Unweighted),,,,,," 42,367,332 "," 21,328,363 ","49,820","26,145"," 1,016,669 "," 1,696,194 "," 2,678,778 "," 2,831,278 "," 3,022,111 "," 3,022,111 "," 3,530,611 "," 3,530,611 "," 21,328,363 "," 3,530,611 "," 3,530,611 "," 3,530,611 "," 3,530,611 "," 3,530,611 "," 3,530,611 "," 3,530,611 "," 3,530,611 "," 3,530,611 "," 3,530,611 "," 3,530,611 "," 3,530,611 "," 42,367,332 "," 63,695,695 ",,
,TOTAL PIPELINE (Probability-Weighted),,,,,," 28,448,479 "," 14,884,234 ","49,820","26,145"," 861,463 "," 1,339,432 "," 1,859,607 "," 1,951,107 "," 2,065,607 "," 2,065,607 "," 2,370,707 "," 2,370,707 "," 14,884,234 "," 2,370,707 "," 2,370,707 "," 2,370,707 "," 2,370,707 "," 2,370,707 "," 2,370,707 "," 2,370,707 "," 2,370,707 "," 2,370,707 "," 2,370,707 "," 2,370,707 "," 2,370,707 "," 28,448,479 "," 43,332,714 ",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. COST PROJECTIONS (Cost % per deal × Revenue ACV; monthly cells follow Go-Live),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Customer / Cost Item,Opportunity Owner,Stage,Probability,Warehouse Location,Ops Go-Live Date,Cost %,Annual Cost (Projected),Volume - Pallets,Volume - SQM,May-26,Jun-26,Jul-26,Aug-26,Sep-26,Oct-26,Nov-26,Dec-26,2026 Total,Jan-27,Feb-27,Mar-27,Apr-27,May-27,Jun-27,Jul-27,Aug-27,Sep-27,Oct-27,Nov-27,Dec-27,2027 Total,Grand Total,Weighted Total,Notes
1,SLB,Yazan Darwish,Prospecting,20.0%,Dammam 2nd Ind -Tad WH,01-Jul-26,75.0%," 1,800,000 ","4,000",-, - , - ," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 900,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 1,800,000 "," 2,700,000 "," 540,000 ",
2,NALCO Ecolab,Yazan Darwish,Contract Negotiation,90.0%,Dammam 2nd Ind -Tad WH,01-Jun-26,75.0%," 1,800,000 ","4,000",-, - ," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 1,050,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 1,800,000 "," 2,850,000 "," 2,565,000 ",
3,Synthomer ME,Yazan Darwish,Contract Negotiation,90.0%,Dammam 2nd Ind -Tad WH,15-May-26,75.0%," 675,000 ","1,500",-," 56,250 "," 56,250 "," 56,250 "," 56,250 "," 56,250 "," 56,250 "," 56,250 "," 56,250 "," 450,000 "," 56,250 "," 56,250 "," 56,250 "," 56,250 "," 56,250 "," 56,250 "," 56,250 "," 56,250 "," 56,250 "," 56,250 "," 56,250 "," 56,250 "," 675,000 "," 1,125,000 "," 1,012,500 ",
4,Transworld Saudi Logistics,Yazan Darwish,Proposal Sent,60.0%,Dammam 2nd Ind -Tad WH,01-May-26,75.0%," 315,000 ",500,-," 26,250 "," 26,250 "," 26,250 "," 26,250 "," 26,250 "," 26,250 "," 26,250 "," 26,250 "," 210,000 "," 26,250 "," 26,250 "," 26,250 "," 26,250 "," 26,250 "," 26,250 "," 26,250 "," 26,250 "," 26,250 "," 26,250 "," 26,250 "," 26,250 "," 315,000 "," 525,000 "," 315,000 ",
5,Schmidt,Yazan Darwish,Proposal Sent,60.0%,Dammam 2nd Ind -Tad WH,01-May-26,75.0%," 198,000 ",400,-," 16,500 "," 16,500 "," 16,500 "," 16,500 "," 16,500 "," 16,500 "," 16,500 "," 16,500 "," 132,000 "," 16,500 "," 16,500 "," 16,500 "," 16,500 "," 16,500 "," 16,500 "," 16,500 "," 16,500 "," 16,500 "," 16,500 "," 16,500 "," 16,500 "," 198,000 "," 330,000 "," 198,000 ",
6,Zaghami,Yazan Darwish,Proposal Sent,60.0%,Dammam 2nd Ind -Tad WH,01-Aug-26,75.0%," 157,500 ",250,-, - , - , - ," 13,125 "," 13,125 "," 13,125 "," 13,125 "," 13,125 "," 65,625 "," 13,125 "," 13,125 "," 13,125 "," 13,125 "," 13,125 "," 13,125 "," 13,125 "," 13,125 "," 13,125 "," 13,125 "," 13,125 "," 13,125 "," 157,500 "," 223,125 "," 133,875 ",
7,Transworld Saudi Logistics,Yazan Darwish,Proposal Sent,60.0%,Dammam 2nd Ind -Tad WH,01-Jun-26,75.0%," 121,875 ",250,-, - ," 10,156 "," 10,156 "," 10,156 "," 10,156 "," 10,156 "," 10,156 "," 10,156 "," 71,094 "," 10,156 "," 10,156 "," 10,156 "," 10,156 "," 10,156 "," 10,156 "," 10,156 "," 10,156 "," 10,156 "," 10,156 "," 10,156 "," 10,156 "," 121,875 "," 192,969 "," 115,781 ",
8,i-Energy,Yazan Darwish,Proposal Sent,60.0%,Dammam 2nd Ind -Tad WH,01-May-26,75.0%," 112,500 ",250,-," 9,375 "," 9,375 "," 9,375 "," 9,375 "," 9,375 "," 9,375 "," 9,375 "," 9,375 "," 75,000 "," 9,375 "," 9,375 "," 9,375 "," 9,375 "," 9,375 "," 9,375 "," 9,375 "," 9,375 "," 9,375 "," 9,375 "," 9,375 "," 9,375 "," 112,500 "," 187,500 "," 112,500 ",
9,FMS Group,Yazan Darwish,Proposal Sent,60.0%,Dammam 2nd Ind -Tad WH,01-Jun-26,75.0%," 37,500 ",100,-, - ," 3,125 "," 3,125 "," 3,125 "," 3,125 "," 3,125 "," 3,125 "," 3,125 "," 21,875 "," 3,125 "," 3,125 "," 3,125 "," 3,125 "," 3,125 "," 3,125 "," 3,125 "," 3,125 "," 3,125 "," 3,125 "," 3,125 "," 3,125 "," 37,500 "," 59,375 "," 35,625 ",
10,El Ajou Group,Yazan Darwish,Proposal Sent,60.0%,Dammam 2nd Ind -Tad WH,01-Jul-26,75.0%," 58,500 ",100,-, - , - ," 4,875 "," 4,875 "," 4,875 "," 4,875 "," 4,875 "," 4,875 "," 29,250 "," 4,875 "," 4,875 "," 4,875 "," 4,875 "," 4,875 "," 4,875 "," 4,875 "," 4,875 "," 4,875 "," 4,875 "," 4,875 "," 4,875 "," 58,500 "," 87,750 "," 52,650 ",
11,JAS,Yazan Darwish,Shortlisted,75.0%,Jubail 1,01-Jun-26,75.0%," 693,000 ","1,400",-, - ," 57,750 "," 57,750 "," 57,750 "," 57,750 "," 57,750 "," 57,750 "," 57,750 "," 404,250 "," 57,750 "," 57,750 "," 57,750 "," 57,750 "," 57,750 "," 57,750 "," 57,750 "," 57,750 "," 57,750 "," 57,750 "," 57,750 "," 57,750 "," 693,000 "," 1,097,250 "," 822,938 ",
12,LX Pantos Logistics,Yazan Darwish,Shortlisted,75.0%,Jubail 1,01-May-26,75.0%," 544,500 ","1,000",-," 45,375 "," 45,375 "," 45,375 "," 45,375 "," 45,375 "," 45,375 "," 45,375 "," 45,375 "," 363,000 "," 45,375 "," 45,375 "," 45,375 "," 45,375 "," 45,375 "," 45,375 "," 45,375 "," 45,375 "," 45,375 "," 45,375 "," 45,375 "," 45,375 "," 544,500 "," 907,500 "," 680,625 ",
13,S-Chem,Yazan Darwish,Shortlisted,75.0%,Jubail 1,15-Jun-26,75.0%," 103,950 ",730,-, - ," 8,663 "," 8,663 "," 8,663 "," 8,663 "," 8,663 "," 8,663 "," 8,663 "," 60,638 "," 8,663 "," 8,663 "," 8,663 "," 8,663 "," 8,663 "," 8,663 "," 8,663 "," 8,663 "," 8,663 "," 8,663 "," 8,663 "," 8,663 "," 103,950 "," 164,588 "," 123,441 ",
14,Saudi Pelican Logistics Solutions,Yazan Darwish,Proposal Sent,60.0%,Jubail 1,01-Jun-26,75.0%," 222,750 ",500,-, - ," 18,563 "," 18,563 "," 18,563 "," 18,563 "," 18,563 "," 18,563 "," 18,563 "," 129,938 "," 18,563 "," 18,563 "," 18,563 "," 18,563 "," 18,563 "," 18,563 "," 18,563 "," 18,563 "," 18,563 "," 18,563 "," 18,563 "," 18,563 "," 222,750 "," 352,688 "," 211,613 ",
15,Ravago Saudi Arabia,Yazan Darwish,Proposal Sent,60.0%,Jubail 2,01-Sep-26,75.0%," 412,500 ","1,200",-, - , - , - , - ," 34,375 "," 34,375 "," 34,375 "," 34,375 "," 137,500 "," 34,375 "," 34,375 "," 34,375 "," 34,375 "," 34,375 "," 34,375 "," 34,375 "," 34,375 "," 34,375 "," 34,375 "," 34,375 "," 34,375 "," 412,500 "," 550,000 "," 330,000 ",
16,Tahakom,Yazan Darwish,Shortlisted,75.0%,Jubail 2,01-Jul-26,75.0%," 637,500 ",-,"15,000", - , - ," 53,125 "," 53,125 "," 53,125 "," 53,125 "," 53,125 "," 53,125 "," 318,750 "," 53,125 "," 53,125 "," 53,125 "," 53,125 "," 53,125 "," 53,125 "," 53,125 "," 53,125 "," 53,125 "," 53,125 "," 53,125 "," 53,125 "," 637,500 "," 956,250 "," 717,188 ",
17,Oriend Provisions,Simon Reah,Proposal Sent,60.0%,Jeddah Modon 3A,01-Aug-26,75.0%," 1,215,000 ","3,000",-, - , - , - ," 101,250 "," 101,250 "," 101,250 "," 101,250 "," 101,250 "," 506,250 "," 101,250 "," 101,250 "," 101,250 "," 101,250 "," 101,250 "," 101,250 "," 101,250 "," 101,250 "," 101,250 "," 101,250 "," 101,250 "," 101,250 "," 1,215,000 "," 1,721,250 "," 1,032,750 ",
18,Al Nahdi,Simon Reah,Contract Negotiation,90.0%,Jeddah Modon 3A,01-May-26,75.0%," 810,000 ","3,000",-," 67,500 "," 67,500 "," 67,500 "," 67,500 "," 67,500 "," 67,500 "," 67,500 "," 67,500 "," 540,000 "," 67,500 "," 67,500 "," 67,500 "," 67,500 "," 67,500 "," 67,500 "," 67,500 "," 67,500 "," 67,500 "," 67,500 "," 67,500 "," 67,500 "," 810,000 "," 1,350,000 "," 1,215,000 ",
19,JamJoom,Simon Reah,Shortlisted,75.0%,Jeddah Modon 3A,01-Jun-26,75.0%," 668,250 ","1,500",-, - ," 55,688 "," 55,688 "," 55,688 "," 55,688 "," 55,688 "," 55,688 "," 55,688 "," 389,813 "," 55,688 "," 55,688 "," 55,688 "," 55,688 "," 55,688 "," 55,688 "," 55,688 "," 55,688 "," 55,688 "," 55,688 "," 55,688 "," 55,688 "," 668,250 "," 1,058,063 "," 793,547 ",
20,Med City Pharma,Amin AlHalabi,Proposal Sent,60.0%,Jeddah Modon 3A,01-Jun-26,75.0%," 446,400 ",800,-, - ," 37,200 "," 37,200 "," 37,200 "," 37,200 "," 37,200 "," 37,200 "," 37,200 "," 260,400 "," 37,200 "," 37,200 "," 37,200 "," 37,200 "," 37,200 "," 37,200 "," 37,200 "," 37,200 "," 37,200 "," 37,200 "," 37,200 "," 37,200 "," 446,400 "," 706,800 "," 424,080 ",
21,Diwan Al Qahwa Trading Company,Yazan Darwish,Proposal Sent,60.0%,Jeddah Modon 3A,01-Jul-26,75.0%," 297,000 ",500,-, - , - ," 24,750 "," 24,750 "," 24,750 "," 24,750 "," 24,750 "," 24,750 "," 148,500 "," 24,750 "," 24,750 "," 24,750 "," 24,750 "," 24,750 "," 24,750 "," 24,750 "," 24,750 "," 24,750 "," 24,750 "," 24,750 "," 24,750 "," 297,000 "," 445,500 "," 267,300 ",
22,Tejoury,Hano Oberholzer,Proposal Sent,60.0%,Jeddah Modon 3A,01-Jul-26,75.0%," 3,300,000 ",-,"4,495", - , - ," 275,000 "," 275,000 "," 275,000 "," 275,000 "," 275,000 "," 275,000 "," 1,650,000 "," 275,000 "," 275,000 "," 275,000 "," 275,000 "," 275,000 "," 275,000 "," 275,000 "," 275,000 "," 275,000 "," 275,000 "," 275,000 "," 275,000 "," 3,300,000 "," 4,950,000 "," 2,970,000 ",
23,United Carton,Simon Reah,Proposal Sent,60.0%,Jeddah Modon 3B,01-Jul-26,75.0%," 378,000 ","1,400",-, - , - ," 31,500 "," 31,500 "," 31,500 "," 31,500 "," 31,500 "," 31,500 "," 189,000 "," 31,500 "," 31,500 "," 31,500 "," 31,500 "," 31,500 "," 31,500 "," 31,500 "," 31,500 "," 31,500 "," 31,500 "," 31,500 "," 31,500 "," 378,000 "," 567,000 "," 340,200 ",
24,El Ajou Group,Yazan Darwish,Proposal Sent,60.0%,Jeddah Modon 3B,01-Jul-26,75.0%," 380,250 ",900,-, - , - ," 31,688 "," 31,688 "," 31,688 "," 31,688 "," 31,688 "," 31,688 "," 190,125 "," 31,688 "," 31,688 "," 31,688 "," 31,688 "," 31,688 "," 31,688 "," 31,688 "," 31,688 "," 31,688 "," 31,688 "," 31,688 "," 31,688 "," 380,250 "," 570,375 "," 342,225 ",
25,Astra Polymers,Yazan Darwish,Proposal Sent,60.0%,Jeddah Modon 3B,01-Jul-26,75.0%," 95,250 ",250,-, - , - ," 7,938 "," 7,938 "," 7,938 "," 7,938 "," 7,938 "," 7,938 "," 47,625 "," 7,938 "," 7,938 "," 7,938 "," 7,938 "," 7,938 "," 7,938 "," 7,938 "," 7,938 "," 7,938 "," 7,938 "," 7,938 "," 7,938 "," 95,250 "," 142,875 "," 85,725 ",
26,Shuran Plastic,Simon Reah,Proposal Sent,60.0%,Jeddah Modon 3B,01-Jun-26,75.0%," 634,500 ",-,"1,500", - ," 52,875 "," 52,875 "," 52,875 "," 52,875 "," 52,875 "," 52,875 "," 52,875 "," 370,125 "," 52,875 "," 52,875 "," 52,875 "," 52,875 "," 52,875 "," 52,875 "," 52,875 "," 52,875 "," 52,875 "," 52,875 "," 52,875 "," 52,875 "," 634,500 "," 1,004,625 "," 602,775 ",
27,Solenis,Amin AlHalabi,Proposal Sent,60.0%,RUH Tayba,01-Sep-26,75.0%," 1,305,000 ","3,000",-, - , - , - , - ," 108,750 "," 108,750 "," 108,750 "," 108,750 "," 435,000 "," 108,750 "," 108,750 "," 108,750 "," 108,750 "," 108,750 "," 108,750 "," 108,750 "," 108,750 "," 108,750 "," 108,750 "," 108,750 "," 108,750 "," 1,305,000 "," 1,740,000 "," 1,044,000 ",
28,Kuehne & Nagel,Simon Reah,Proposal Sent,60.0%,RUH Tayba,01-Nov-26,75.0%," 4,576,500 ","2,500",-, - , - , - , - , - , - ," 381,375 "," 381,375 "," 762,750 "," 381,375 "," 381,375 "," 381,375 "," 381,375 "," 381,375 "," 381,375 "," 381,375 "," 381,375 "," 381,375 "," 381,375 "," 381,375 "," 381,375 "," 4,576,500 "," 5,339,250 "," 3,203,550 ",
29,United Carton,Simon Reah,Proposal Sent,60.0%,RUH Tayba,01-Jul-26,75.0%," 378,000 ","1,200",-, - , - ," 31,500 "," 31,500 "," 31,500 "," 31,500 "," 31,500 "," 31,500 "," 189,000 "," 31,500 "," 31,500 "," 31,500 "," 31,500 "," 31,500 "," 31,500 "," 31,500 "," 31,500 "," 31,500 "," 31,500 "," 31,500 "," 31,500 "," 378,000 "," 567,000 "," 340,200 ",
30,Kuehne & Nagel,Simon Reah,Proposal Sent,60.0%,RUH Tayba,01-Jul-26,75.0%," 1,518,750 ",-,"5,000", - , - ," 126,563 "," 126,563 "," 126,563 "," 126,563 "," 126,563 "," 126,563 "," 759,375 "," 126,563 "," 126,563 "," 126,563 "," 126,563 "," 126,563 "," 126,563 "," 126,563 "," 126,563 "," 126,563 "," 126,563 "," 126,563 "," 126,563 "," 1,518,750 "," 2,278,125 "," 1,366,875 ",
31,Kuehne & Nagel,Simon Reah,Proposal Sent,60.0%,RUH Tayba,15-May-26,75.0%," 73,535 ",-,150," 6,128 "," 6,128 "," 6,128 "," 6,128 "," 6,128 "," 6,128 "," 6,128 "," 6,128 "," 49,023 "," 6,128 "," 6,128 "," 6,128 "," 6,128 "," 6,128 "," 6,128 "," 6,128 "," 6,128 "," 6,128 "," 6,128 "," 6,128 "," 6,128 "," 73,535 "," 122,558 "," 73,535 ",
32,Baxter,Yazan Darwish,Proposal Sent,60.0%,Subcontractor,01-Jun-26,75.0%," 750,000 ","2,500",-, - ," 62,500 "," 62,500 "," 62,500 "," 62,500 "," 62,500 "," 62,500 "," 62,500 "," 437,500 "," 62,500 "," 62,500 "," 62,500 "," 62,500 "," 62,500 "," 62,500 "," 62,500 "," 62,500 "," 62,500 "," 62,500 "," 62,500 "," 62,500 "," 750,000 "," 1,187,500 "," 712,500 ",
33,Al Nahdi,Simon Reah,Proposal Sent,60.0%,Subcontractor,01-May-26,75.0%," 600,000 ","2,000",-," 50,000 "," 50,000 "," 50,000 "," 50,000 "," 50,000 "," 50,000 "," 50,000 "," 50,000 "," 400,000 "," 50,000 "," 50,000 "," 50,000 "," 50,000 "," 50,000 "," 50,000 "," 50,000 "," 50,000 "," 50,000 "," 50,000 "," 50,000 "," 50,000 "," 600,000 "," 1,000,000 "," 600,000 ",
34,HMH,Yazan Darwish,Qualified,40.0%,Contract Logistics,01-Jun-26,75.0%," 637,500 ",-,-, - ," 53,125 "," 53,125 "," 53,125 "," 53,125 "," 53,125 "," 53,125 "," 53,125 "," 371,875 "," 53,125 "," 53,125 "," 53,125 "," 53,125 "," 53,125 "," 53,125 "," 53,125 "," 53,125 "," 53,125 "," 53,125 "," 53,125 "," 53,125 "," 637,500 "," 1,009,375 "," 403,750 ",
35,Saudi National Bank,Hano Oberholzer,Proposal Sent,60.0%,Contract Logistics,15-May-26,75.0%," 1,481,540 ",-,-," 123,462 "," 123,462 "," 123,462 "," 123,462 "," 123,462 "," 123,462 "," 123,462 "," 123,462 "," 987,693 "," 123,462 "," 123,462 "," 123,462 "," 123,462 "," 123,462 "," 123,462 "," 123,462 "," 123,462 "," 123,462 "," 123,462 "," 123,462 "," 123,462 "," 1,481,540 "," 2,469,233 "," 1,481,540 ",
36,SAUDI CARBONATE COMPANY,Yazan  Darwish,Closed Won,100.0%,Dammam Port,01-May-26,75.0%, - ,300,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
37,MEBCo (Clarios),Yazan  Darwish,Closed Won,100.0%,Dammam 2nd Ind -Tad WH,01-Mar-26,75.0%," 486,000 ",900,-," 40,500 "," 40,500 "," 40,500 "," 40,500 "," 40,500 "," 40,500 "," 40,500 "," 40,500 "," 324,000 "," 40,500 "," 40,500 "," 40,500 "," 40,500 "," 40,500 "," 40,500 "," 40,500 "," 40,500 "," 40,500 "," 40,500 "," 40,500 "," 40,500 "," 486,000 "," 810,000 "," 810,000 ",
38,Rawabi Electric,Yazan  Darwish,Closed Won,100.0%,Dammam 2nd Ind -Tad WH,27-Jan-26,75.0%," 79,200 ",440,-," 6,600 "," 6,600 "," 6,600 "," 6,600 "," 6,600 "," 6,600 "," 6,600 "," 6,600 "," 52,800 "," 6,600 "," 6,600 "," 6,600 "," 6,600 "," 6,600 "," 6,600 "," 6,600 "," 6,600 "," 6,600 "," 6,600 "," 6,600 "," 6,600 "," 79,200 "," 132,000 "," 132,000 ",
39,Dorfketal,Yazan  Darwish,Closed Won,100.0%,Dammam 2nd Ind -Tad WH,01-May-26,75.0%," 58,500 ",200,-," 4,875 "," 4,875 "," 4,875 "," 4,875 "," 4,875 "," 4,875 "," 4,875 "," 4,875 "," 39,000 "," 4,875 "," 4,875 "," 4,875 "," 4,875 "," 4,875 "," 4,875 "," 4,875 "," 4,875 "," 4,875 "," 4,875 "," 4,875 "," 4,875 "," 58,500 "," 97,500 "," 97,500 ",
40,Rising Future,Yazan  Darwish,Closed Won,100.0%,Dammam 2nd Ind -Tad WH,01-Mar-26,75.0%," 22,500 ",50,-," 1,875 "," 1,875 "," 1,875 "," 1,875 "," 1,875 "," 1,875 "," 1,875 "," 1,875 "," 15,000 "," 1,875 "," 1,875 "," 1,875 "," 1,875 "," 1,875 "," 1,875 "," 1,875 "," 1,875 "," 1,875 "," 1,875 "," 1,875 "," 1,875 "," 22,500 "," 37,500 "," 37,500 ",
41,Maaden,Yazan  Darwish,Closed Won,100.0%,Jubail 1,01-Feb-26,75.0%," 720,000 ","1,200",-," 60,000 "," 60,000 "," 60,000 "," 60,000 "," 60,000 "," 60,000 "," 60,000 "," 60,000 "," 480,000 "," 60,000 "," 60,000 "," 60,000 "," 60,000 "," 60,000 "," 60,000 "," 60,000 "," 60,000 "," 60,000 "," 60,000 "," 60,000 "," 60,000 "," 720,000 "," 1,200,000 "," 1,200,000 ",
42,Al Nahdi,Simon Reah,Closed Won,100.0%,Jeddah Modon 3B,01-Apr-26,75.0%," 567,000 ","4,000",-," 47,250 "," 47,250 "," 47,250 "," 47,250 "," 47,250 "," 47,250 "," 47,250 "," 47,250 "," 378,000 "," 47,250 "," 47,250 "," 47,250 "," 47,250 "," 47,250 "," 47,250 "," 47,250 "," 47,250 "," 47,250 "," 47,250 "," 47,250 "," 47,250 "," 567,000 "," 945,000 "," 945,000 ",
43,Sharbatly Fruit Company,Simon Reah,Closed Won,100.0%,Jeddah Modon 3B,15-Apr-26,75.0%," 513,000 ","1,500",-," 42,750 "," 42,750 "," 42,750 "," 42,750 "," 42,750 "," 42,750 "," 42,750 "," 42,750 "," 342,000 "," 42,750 "," 42,750 "," 42,750 "," 42,750 "," 42,750 "," 42,750 "," 42,750 "," 42,750 "," 42,750 "," 42,750 "," 42,750 "," 42,750 "," 513,000 "," 855,000 "," 855,000 ",
44,PSA-BDP,Amin AlHalabi,Closed Won,100.0%,Subcontractor,14-Feb-26,75.0%," 1,350,000 ","2,500",-," 112,500 "," 112,500 "," 112,500 "," 112,500 "," 112,500 "," 112,500 "," 112,500 "," 112,500 "," 900,000 "," 112,500 "," 112,500 "," 112,500 "," 112,500 "," 112,500 "," 112,500 "," 112,500 "," 112,500 "," 112,500 "," 112,500 "," 112,500 "," 112,500 "," 1,350,000 "," 2,250,000 "," 2,250,000 ",
45,Tasnee,Yazan  Darwish,Closed Won,100.0%,Contract Logistics,01-May-26,75.0%," 543,750 ",-,-," 45,313 "," 45,313 "," 45,313 "," 45,313 "," 45,313 "," 45,313 "," 45,313 "," 45,313 "," 362,500 "," 45,313 "," 45,313 "," 45,313 "," 45,313 "," 45,313 "," 45,313 "," 45,313 "," 45,313 "," 45,313 "," 45,313 "," 45,313 "," 45,313 "," 543,750 "," 906,250 "," 906,250 ",
46,,,,-,,,75.0%, - ,-,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
47,,,,-,,,75.0%, - ,-,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
48,,,,-,,,75.0%, - ,-,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
49,,,,-,,,75.0%, - ,-,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
50,,,,-,,,75.0%, - ,-,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
51,,,,-,,,75.0%, - ,-,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
52,,,,-,,,75.0%, - ,-,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
53,,,,-,,,75.0%, - ,-,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
54,,,,-,,,75.0%, - ,-,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
55,,,,-,,,75.0%, - ,-,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
56,,,,-,,,75.0%, - ,-,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
57,,,,-,,,75.0%, - ,-,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
58,,,,-,,,75.0%, - ,-,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
59,,,,-,,,75.0%, - ,-,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
60,,,,-,,,75.0%, - ,-,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
,TOTAL COSTS (Unweighted),,,,,,,,,," 762,502 "," 1,272,146 "," 2,009,083 "," 2,123,458 "," 2,266,583 "," 2,266,583 "," 2,647,958 "," 2,647,958 "," 15,996,272 "," 2,647,958 "," 2,647,958 "," 2,647,958 "," 2,647,958 "," 2,647,958 "," 2,647,958 "," 2,647,958 "," 2,647,958 "," 2,647,958 "," 2,647,958 "," 2,647,958 "," 2,647,958 "," 31,775,499 "," 47,771,771 ",,
,TOTAL COSTS (Probability-Weighted),,,,,,,,,," 646,097 "," 1,004,574 "," 1,394,705 "," 1,463,330 "," 1,549,205 "," 1,549,205 "," 1,778,030 "," 1,778,030 "," 11,163,176 "," 1,778,030 "," 1,778,030 "," 1,778,030 "," 1,778,030 "," 1,778,030 "," 1,778,030 "," 1,778,030 "," 1,778,030 "," 1,778,030 "," 1,778,030 "," 1,778,030 "," 1,778,030 "," 21,336,359 "," 32,499,535 ",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
